,0,1
0,"[3, 3]",[ 0 22 81]
1,"[7, 7]",[27 44 45 57 58 68 89]
2,"[1, 3]",[83]
3,"[2, 4]",[ 3 73]
4,"[4, 6]",[43 56 63 81]
5,"[6, 8]",[ 5 30 51 60 88 94]
6,"[4, 8]",[28 29 61 94]
7,"[5, 5]",[ 7 31 79 91 93]
8,"[7, 9]",[ 8 18 29 33 74 76 84]
9,"[1, 3]",[9]
10,"[5, 5]",[10 16 47 54 71]
11,"[2, 6]",[76 86]
12,"[4, 8]",[23 25 41 78]
13,"[5, 7]",[13 42 61 62 85]
14,"[10, 10]",[17 33 44 47 53 67 69 75 84 89]
15,"[2, 4]",[25 73]
16,"[2, 6]",[53 71]
17,"[5, 7]",[ 1 42 44 49 58]
18,"[2, 6]",[51 86]
19,"[3, 5]",[19 55 67]
20,"[3, 5]",[37 62 63]
21,"[4, 6]",[21 48 60 95]
22,"[5, 11]",[ 4 66 77 81 85]
23,"[2, 4]",[23 40]
24,"[4, 6]",[37 62 70 77]
25,"[5, 5]",[15 25 54 69 82]
26,"[4, 4]",[ 2 12 26 40]
27,"[2, 4]",[27 49]
28,"[2, 6]",[81 84]
29,"[5, 9]",[ 2 36 51 74 83]
30,"[5, 9]",[ 5 15 36 73 80]
31,"[4, 6]",[31 65 71 77]
32,"[4, 8]",[ 6 12 32 94]
33,"[3, 5]",[14 63 74]
34,"[1, 3]",[4]
35,"[3, 5]",[35 77 79]
36,"[5, 7]",[ 6 36 61 76 84]
37,"[8, 10]",[24 37 56 62 63 70 74 81]
38,"[1, 3]",[26]
39,"[2, 4]",[39 64]
40,"[3, 5]",[23 26 40]
41,"[3, 5]",[27 49 91]
42,"[4, 8]",[20 62 70 75]
43,"[4, 6]",[14 17 44 89]
44,"[6, 10]",[16 45 53 57 69 92]
45,"[8, 8]",[ 5 22 57 66 68 72 82 94]
46,"[4, 4]",[10 14 47 67]
47,"[4, 8]",[18 21 47 83]
48,"[9, 11]",[11 13 27 39 42 49 71 90 92]
49,"[2, 6]",[ 6 77]
50,"[4, 8]",[ 8 18 29 88]
51,"[3, 7]",[32 72 76]
52,"[5, 7]",[14 44 45 69 92]
53,"[3, 5]",[54 85 87]
54,"[5, 7]",[ 4  9 22 70 95]
55,"[7, 9]",[ 4 18 22 37 56 70 81]
56,"[3, 5]",[46 57 89]
57,"[3, 5]",[58 91 92]
58,"[2, 4]",[33 59]
59,"[3, 5]",[32 60 76]
60,"[1, 3]",[6]
61,"[3, 7]",[13 24 62]
62,"[8, 10]",[ 4 14 24 43 63 75 81 83]
63,"[6, 8]",[ 8 28 39 50 81 84]
64,"[4, 4]",[21 42 48 65]
65,"[4, 4]",[18 22 46 86]
66,"[3, 3]",[14 63 67]
67,"[2, 4]",[32 82]
68,"[6, 8]",[14 15 45 54 69 90]
69,"[5, 7]",[ 4  9 27 56 59]
70,"[5, 7]",[10 11 31 49 71]
71,"[4, 6]",[19 32 52 89]
72,"[2, 4]",[12 25]
73,"[7, 7]",[ 8 29 33 37 48 74 83]
74,"[3, 5]",[14 63 89]
75,"[3, 5]",[49 60 76]
76,"[4, 6]",[24 31 41 77]
77,"[3, 5]",[23 53 92]
78,"[4, 4]",[12 13 35 61]
79,"[2, 4]",[15 80]
80,"[5, 9]",[ 4 22 24 50 63]
81,"[5, 7]",[12 25 32 52 82]
82,"[3, 7]",[34 48 67]
83,"[6, 12]",[14 29 33 36 53 64]
84,"[3, 5]",[13 35 54]
85,"[3, 5]",[37 56 71]
86,"[4, 6]",[17 54 68 87]
87,"[2, 4]",[36 88]
88,"[3, 7]",[44 57 72]
89,"[3, 5]",[ 1 17 69]
90,"[4, 6]",[ 7 17 65 79]
91,"[4, 2]",[44 53 58 92]
92,"[4, 2]",[24 41 77 93]
93,"[5, 9]",[ 5  6 18 32 46]
94,"[3, 3]",[ 0 72 95]
