,0,1
0,"[2, 4]",[ 0 72]
1,"[7, 11]",[17 27 42 44 45 58 68]
2,"[1, 3]",[40]
3,"[2, 6]",[22 63]
4,"[5, 9]",[ 5 32 46 51 72]
5,"[4, 6]",[29 32 36 61]
6,"[3, 5]",[35 77 79]
7,"[4, 8]",[36 39 51 64]
8,"[1, 3]",[23]
9,"[2, 4]",[16 71]
10,"[1, 3]",[76]
11,"[6, 6]",[12 26 32 61 73 82]
12,"[4, 6]",[13 62 71 79]
13,"[5, 9]",[14 17 47 53 63]
14,"[2, 4]",[25 82]
15,"[2, 4]",[36 84]
16,"[6, 8]",[ 1 17 42 44 58 91]
17,"[4, 8]",[48 51 66 86]
18,"[4, 4]",[19 55 89 95]
19,"[3, 3]",[20 43 62]
20,"[4, 6]",[60 65 91 95]
21,"[7, 11]",[ 0  4 46 56 66 77 86]
22,"[3, 5]",[23 78 93]
23,"[4, 8]",[37 43 77 93]
24,"[6, 8]",[12 15 54 69 73 87]
25,"[4, 4]",[ 2 12 26 73]
26,"[5, 7]",[ 1 27 42 49 90]
27,"[3, 5]",[64 81 84]
28,"[9, 13]",[ 2 36 37 64 70 74 83 84 94]
29,"[4, 8]",[ 5 30 76 80]
30,"[5, 7]",[31 42 71 77 85]
31,"[5, 11]",[ 5 32 61 68 72]
32,"[3, 5]",[14 63 74]
33,"[3, 3]",[ 4 34 83]
34,"[1, 3]",[79]
35,"[4, 8]",[ 8 16 29 84]
36,"[7, 13]",[20 24 29 62 74 81 86]
37,"[2, 6]",[65 73]
38,"[2, 4]",[39 64]
39,"[3, 3]",[ 2 26 40]
40,"[4, 4]",[12 41 77 82]
41,"[8, 10]",[13 17 27 31 49 65 85 91]
42,"[6, 4]",[ 4 20 24 43 62 63]
43,"[6, 6]",[14 17 44 49 58 92]
44,"[4, 8]",[25 53 69 92]
45,"[5, 7]",[ 5 22 46 68 72]
46,"[2, 4]",[47 67]
47,"[3, 7]",[47 67 74]
48,"[4, 8]",[11 17 42 71]
49,"[5, 7]",[29 50 64 74 77]
50,"[2, 6]",[18 29]
51,"[2, 4]",[32 82]
52,"[3, 5]",[44 69 92]
53,"[3, 5]",[25 35 69]
54,"[2, 4]",[19 95]
55,"[6, 8]",[18 22 56 81 86 94]
56,"[3, 7]",[25 57 68]
57,"[5, 5]",[20 27 43 59 75]
58,"[6, 10]",[15 30 76 82 91 95]
59,"[5, 7]",[ 6 12 36 61 79]
60,"[1, 3]",[62]
61,"[4, 4]",[28 43 63 81]
62,"[5, 7]",[28 39 64 81 84]
63,"[5, 7]",[ 7 31 38 42 65]
64,"[2, 6]",[46 86]
65,"[2, 6]",[83 95]
66,"[5, 7]",[25 46 57 68 87]
67,"[5, 5]",[14 15 25 33 69]
68,"[5, 11]",[27 29 37 43 55]
69,"[4, 6]",[13 31 49 71]
70,"[5, 7]",[ 5 32 46 57 89]
71,"[2, 4]",[12 73]
72,"[5, 5]",[ 8 29 37 63 83]
73,"[2, 4]",[63 75]
74,"[4, 8]",[ 8 36 60 82]
75,"[10, 6]",[22 24 31 35 41 50 77 81 85 93]
76,"[4, 4]",[12 53 78 92]
77,"[4, 6]",[12 35 79 93]
78,"[1, 3]",[80]
79,"[10, 8]",[ 4 22 28 37 50 63 64 74 77 81]
80,"[3, 7]",[41 46 60]
81,"[5, 7]",[ 2 63 67 74 83]
82,"[2, 4]",[28 64]
83,"[5, 9]",[22 31 42 54 85]
84,"[4, 6]",[18 22 66 71]
85,"[3, 3]",[17 54 87]
86,"[4, 6]",[13 30 62 73]
87,"[3, 3]",[19 72 89]
88,"[3, 5]",[58 79 91]
89,"[3, 7]",[39 53 58]
90,"[4, 8]",[ 7  9 23 41]
91,"[4, 8]",[32 46 51 94]
92,"[3, 3]",[ 0 72 95]
