,0,1
0,"[1, 3]",[0]
1,"[5, 5]",[ 1 17 57 89 90]
2,"[1, 3]",[2]
3,"[2, 4]",[ 4 70]
4,"[1, 3]",[5]
5,"[3, 3]",[ 6 29 36]
6,"[2, 4]",[ 7 79]
7,"[1, 3]",[8]
8,"[1, 3]",[9]
9,"[2, 4]",[10 71]
10,"[1, 3]",[11]
11,"[2, 4]",[12 82]
12,"[2, 4]",[13 79]
13,"[4, 6]",[14 53 67 69]
14,"[2, 4]",[15 25]
15,"[1, 3]",[16]
16,"[7, 5]",[ 1 17 42 44 49 54 90]
17,"[1, 3]",[18]
18,"[2, 4]",[19 95]
19,"[3, 7]",[20 43 63]
20,"[2, 4]",[21 60]
21,"[1, 3]",[22]
22,"[2, 4]",[23 93]
23,"[5, 5]",[24 37 43 62 77]
24,"[4, 2]",[15 25 69 73]
25,"[2, 4]",[26 73]
26,"[1, 3]",[27]
27,"[1, 3]",[28]
28,"[9, 7]",[ 6 29 34 37 51 64 74 84 94]
29,"[3, 5]",[30 60 88]
30,"[1, 3]",[31]
31,"[3, 7]",[32 52 82]
32,"[2, 4]",[33 63]
33,"[2, 4]",[29 34]
34,"[2, 4]",[35 79]
35,"[3, 5]",[ 6 36 88]
36,"[6, 6]",[24 29 37 56 64 81]
37,"[1, 3]",[39]
38,"[1, 3]",[40]
39,"[1, 3]",[41]
40,"[3, 7]",[17 42 49]
41,"[7, 3]",[20 24 43 59 62 63 75]
42,"[3, 5]",[17 44 92]
43,"[2, 4]",[45 58]
44,"[4, 2]",[46 57 66 72]
45,"[1, 3]",[47]
46,"[2, 4]",[48 83]
47,"[3, 7]",[17 42 49]
48,"[2, 4]",[50 81]
49,"[2, 4]",[51 88]
50,"[3, 7]",[32 52 82]
51,"[3, 5]",[14 53 92]
52,"[2, 4]",[17 54]
53,"[1, 3]",[55]
54,"[3, 3]",[37 56 86]
55,"[3, 5]",[ 1 46 57]
56,"[3, 3]",[45 58 92]
57,"[3, 3]",[43 59 75]
58,"[4, 8]",[21 30 60 82]
59,"[1, 3]",[61]
60,"[3, 3]",[24 43 62]
61,"[7, 7]",[20 33 37 43 63 74 81]
62,"[3, 3]",[29 37 64]
63,"[2, 4]",[65 91]
64,"[2, 4]",[46 66]
65,"[3, 5]",[14 67 95]
66,"[1, 3]",[68]
67,"[3, 5]",[14 25 69]
68,"[3, 5]",[ 4 37 70]
69,"[2, 4]",[10 71]
70,"[2, 4]",[46 72]
71,"[3, 5]",[25 26 73]
72,"[4, 6]",[29 63 74 83]
73,"[3, 3]",[43 59 75]
74,"[1, 3]",[76]
75,"[5, 5]",[24 77 81 85 93]
76,"[1, 3]",[78]
77,"[4, 6]",[ 7 13 35 79]
78,"[5, 7]",[37 50 63 77 81]
79,"[5, 7]",[12 32 52 60 82]
80,"[3, 3]",[48 74 83]
81,"[1, 3]",[84]
82,"[2, 4]",[77 85]
83,"[2, 4]",[56 86]
84,"[4, 2]",[30 36 51 88]
85,"[2, 4]",[ 1 89]
86,"[3, 3]",[ 1 17 90]
87,"[2, 4]",[65 91]
88,"[4, 2]",[44 53 58 92]
89,"[3, 5]",[23 77 93]
90,"[2, 4]",[29 94]
91,"[3, 3]",[19 67 95]
