,c_nodes,row,v_nodes,sim_index,snr,bias_bits,ts_size
0,[15 18 39],0,[ 0 72 95],0,1,"[0.0, 22.0, 72.0, 81.0, 95.0]","[3.0, 3.0]"
1,[15 18 21 29 34],0,[ 0 22 72 81 95],1,1,"[0.0, 22.0, 72.0, 81.0, 95.0]","[5.0, 5.0]"
2,[11 23 25 31 43],1,[ 1 44 45 57 58 68 89],0,1,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]","[7.0, 5.0]"
3,[ 3  4 15 18 22 23 27 31 36 43 44],1,[17 27 44 57 68],1,1,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]","[5.0, 11.0]"
4,[ 7 15 26 28 38 46],2,[26 29 40 83],0,1,"[2.0, 26.0, 29.0, 40.0, 83.0]","[4.0, 6.0]"
5,[11 12 37 40],3,[25 73],0,1,"[3.0, 25.0, 73.0]","[2.0, 4.0]"
6,[11 21 37],3,[3],1,1,"[3.0, 25.0, 73.0]","[1.0, 3.0]"
7,[ 2  5  8  9 14 16 17 21 29 30 33 34 38],4,[ 4 22 43 56 63 83 95],0,1,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]","[7.0, 13.0]"
8,[ 0  2  5  8  9 16 18 27 29 30 38 39 42],4,[ 4 22 34 43 55 56 63 67 81],1,1,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]","[9.0, 13.0]"
9,[ 7 13 23 29 37 40],5,[ 5 32 46 88],0,1,"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]","[4.0, 6.0]"
10,[ 1 16 20 26 33 37 41],5,[30 51 60],1,1,"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]","[3.0, 7.0]"
11,[ 1  7  8 13 33 38 41 47],6,[ 6 32 61 94],0,1,"[6.0, 28.0, 29.0, 32.0, 36.0, 50.0, 52.0, 61.0, 94.0]","[4.0, 8.0]"
12,[ 8 13 38 41],6,[29 36],1,1,"[6.0, 28.0, 29.0, 32.0, 36.0, 50.0, 52.0, 61.0, 94.0]","[2.0, 4.0]"
13,[10 12 43 47],7,[ 7 31 79 91],0,1,"[7.0, 31.0, 35.0, 65.0, 77.0, 79.0, 91.0, 93.0]","[4.0, 4.0]"
14,[19 22 45 47],7,[35 79],1,1,"[7.0, 31.0, 35.0, 65.0, 77.0, 79.0, 91.0, 93.0]","[2.0, 4.0]"
15,[ 5  6 13 20 21 24 26 30 37 38 39],8,[ 8 18 29 33 36 51 64 74 76],0,1,"[8.0, 18.0, 29.0, 33.0, 36.0, 39.0, 51.0, 64.0, 74.0, 76.0, 84.0]","[9.0, 11.0]"
16,[ 1  5  8 13 20 30 38 42],8,[ 8 18 29 36 76 84],1,1,"[8.0, 18.0, 29.0, 33.0, 36.0, 39.0, 51.0, 64.0, 74.0, 76.0, 84.0]","[6.0, 8.0]"
17,[25 28 34 47],9,[ 9 93],0,1,"[9.0, 23.0, 55.0, 70.0, 93.0]","[2.0, 4.0]"
18,[ 0  2 18 28 34 47],9,[55 93],1,1,"[9.0, 23.0, 55.0, 70.0, 93.0]","[2.0, 6.0]"
19,[13 19 28 31 36 42 43],10,[16 31 54],0,1,"[10.0, 16.0, 31.0, 47.0, 54.0, 71.0]","[3.0, 7.0]"
20,[ 9 10 13 30 36 42 43],10,[10 47 71],1,1,"[10.0, 16.0, 31.0, 47.0, 54.0, 71.0]","[3.0, 7.0]"
21,[ 3  6 13 30 41],11,[11 71 76],0,1,"[11.0, 49.0, 71.0, 76.0, 86.0]","[3.0, 5.0]"
22,[ 0  7 11 12 13 15 17 19 23 25 40 45],12,[23 25 26 35 61 73],0,1,"[12.0, 23.0, 25.0, 26.0, 32.0, 35.0, 41.0, 61.0, 73.0, 78.0, 79.0, 82.0]","[6.0, 12.0]"
23,[ 7 17 23 25 33 37 42],12,[26 32 78],1,1,"[12.0, 23.0, 25.0, 26.0, 32.0, 35.0, 41.0, 61.0, 73.0, 78.0, 79.0, 82.0]","[3.0, 7.0]"
24,[ 3  6 16 22 23 29 43 44 45 47],13,[13 42 49 61 62 85],0,1,"[13.0, 35.0, 42.0, 49.0, 61.0, 62.0, 71.0, 79.0, 85.0, 88.0]","[6.0, 10.0]"
25,[ 0 23 45],13,[13 61 79],1,1,"[13.0, 35.0, 42.0, 49.0, 61.0, 62.0, 71.0, 79.0, 85.0, 88.0]","[3.0, 3.0]"
26,[ 9 15 21 22 24 27 35 36 43 44],14,[17 33 44 63 67 89],0,1,"[14.0, 17.0, 33.0, 44.0, 47.0, 53.0, 63.0, 67.0, 69.0, 75.0, 84.0, 89.0]","[6.0, 10.0]"
27,[ 5 11 24 30 36 46],14,[14 47 67 69],1,1,"[14.0, 17.0, 33.0, 44.0, 47.0, 53.0, 63.0, 67.0, 69.0, 75.0, 84.0, 89.0]","[4.0, 6.0]"
