,ts_size,snr,row,c_nodes,v_nodes,sim_index
0,"[5.0, 5.0]",10,0,[15 18 21 29 34],[ 0 22 72 81 95],0
1,"[5.0, 5.0]",10,0,[15 18 21 29 34],[ 0 22 72 81 95],1
2,"[11.0, 7.0]",10,1,[ 4 10 11 18 23 25 43],[ 1 17 27 42 44 45 57 58 68 89 90],0
3,"[11.0, 7.0]",10,1,[ 4 10 11 18 23 25 43],[ 1 17 27 42 44 45 57 58 68 89 90],1
4,"[5.0, 5.0]",10,2,[ 7 17 26 28 46],[ 2 26 29 40 83],0
5,"[5.0, 5.0]",10,2,[ 7 17 26 28 46],[ 2 26 29 40 83],1
6,"[3.0, 3.0]",10,3,[12 21 40],[ 3 25 73],0
7,"[3.0, 3.0]",10,3,[12 21 40],[ 3 25 73],1
8,"[12.0, 12.0]",10,4,[ 0  5 16 17 18 27 29 30 33 39 42 46],[ 4 22 34 43 55 56 63 67 70 81 83 95],0
9,"[12.0, 12.0]",10,4,[ 0  5 16 17 18 27 29 30 33 39 42 46],[ 4 22 34 43 55 56 63 67 70 81 83 95],1
10,"[9.0, 9.0]",10,5,[ 7 13 15 16 20 26 38 40 41],[ 5 30 32 46 51 60 72 88 94],0
11,"[9.0, 9.0]",10,5,[ 7 13 15 16 20 26 38 40 41],[ 5 30 32 46 51 60 72 88 94],1
12,"[9.0, 9.0]",10,6,[ 1  5  8 23 28 29 33 41 47],[ 6 28 29 32 36 50 52 61 94],0
13,"[9.0, 9.0]",10,6,[ 1  5  8 23 28 29 33 41 47],[ 6 28 29 32 36 50 52 61 94],1
14,"[8.0, 8.0]",10,7,[ 0  2 12 14 17 19 32 43],[ 7 31 35 65 77 79 91 93],0
15,"[8.0, 8.0]",10,7,[ 0  2 12 14 17 19 32 43],[ 7 31 35 65 77 79 91 93],1
16,"[11.0, 11.0]",10,8,[ 3  6 13 20 21 24 25 30 37 38 42],[ 8 18 29 33 36 39 51 64 74 76 84],0
17,"[11.0, 11.0]",10,8,[ 3  6 13 20 21 24 25 30 37 38 42],[ 8 18 29 33 36 39 51 64 74 76 84],1
18,"[5.0, 5.0]",10,9,[ 0  2 15 28 38],[ 9 23 55 70 93],0
19,"[5.0, 5.0]",10,9,[ 0  2 15 28 38],[ 9 23 55 70 93],1
20,"[6.0, 6.0]",10,10,[ 9 10 19 28 30 31],[10 16 31 47 54 71],0
21,"[6.0, 6.0]",10,10,[ 9 10 19 28 30 31],[10 16 31 47 54 71],1
22,"[5.0, 5.0]",10,11,[13 22 34 41 43],[11 49 71 76 86],0
23,"[5.0, 5.0]",10,11,[13 22 34 41 43],[11 49 71 76 86],1
24,"[12.0, 12.0]",10,12,[ 7 11 12 13 14 15 17 22 33 42 45 47],[12 23 25 26 32 35 41 61 73 78 79 82],0
25,"[12.0, 12.0]",10,12,[ 7 11 12 13 14 15 17 22 33 42 45 47],[12 23 25 26 32 35 41 61 73 78 79 82],1
26,"[10.0, 8.0]",10,13,[ 3  6 19 23 29 30 37 44],[13 35 42 49 61 62 71 79 85 88],0
27,"[10.0, 8.0]",10,13,[ 3  6 19 23 29 30 37 44],[13 35 42 49 61 62 71 79 85 88],1
28,"[12.0, 10.0]",10,14,[ 5 15 16 21 22 26 27 30 35 43],[14 17 33 44 47 53 63 67 69 75 84 89],0
29,"[12.0, 10.0]",10,14,[ 5 15 16 21 22 26 27 30 35 43],[14 17 33 44 47 53 63 67 69 75 84 89],1
30,"[8.0, 8.0]",10,15,[ 0  7 16 24 33 36 37 40],[15 25 30 60 69 73 80 82],0
31,"[8.0, 8.0]",10,15,[ 0  7 16 24 33 36 37 40],[15 25 30 60 69 73 80 82],1
32,"[7.0, 7.0]",10,16,[ 5 10 13 27 32 41 43],[10 16 36 45 53 71 84],0
33,"[7.0, 7.0]",10,16,[ 5 10 13 27 32 41 43],[10 16 36 45 53 71 84],1
34,"[11.0, 5.0]",10,17,[ 4  5 12 25 35],[ 1 14 17 42 44 49 54 58 87 90 91],0
35,"[11.0, 5.0]",10,17,[ 4  5 12 25 35],[ 1 14 17 42 44 49 54 58 87 90 91],1
36,"[9.0, 9.0]",10,18,[ 3  6 14 17 23 31 35 36 37],[ 8 18 47 48 51 56 66 86 94],0
37,"[9.0, 9.0]",10,18,[ 3  6 14 17 23 31 35 36 37],[ 8 18 47 48 51 56 66 86 94],1
38,"[6.0, 6.0]",10,19,[27 29 33 34 44 46],[19 55 67 72 89 95],0
39,"[6.0, 6.0]",10,19,[27 29 33 34 44 46],[19 55 67 72 89 95],1
40,"[7.0, 7.0]",10,20,[ 6 24 35 38 44 45 46],[20 33 37 43 59 62 63],0
41,"[7.0, 7.0]",10,20,[ 6 24 35 38 44 45 46],[20 33 37 43 59 62 63],1
42,"[6.0, 6.0]",10,21,[ 9 10 18 22 32 35],[21 48 60 65 91 95],0
43,"[6.0, 6.0]",10,21,[ 9 10 18 22 32 35],[21 48 60 65 91 95],1
44,"[11.0, 11.0]",10,22,[ 0  6  9 10 14 21 28 31 38 40 46],[ 0  4 22 46 55 56 66 77 81 85 86],0
45,"[11.0, 11.0]",10,22,[ 0  6  9 10 14 21 28 31 38 40 46],[ 0  4 22 46 55 56 66 77 81 85 86],1
46,"[6.0, 6.0]",10,23,[19 25 34 37 42 47],[ 9 12 23 40 78 93],0
47,"[6.0, 6.0]",10,23,[19 25 34 37 42 47],[ 9 12 23 40 78 93],1
48,"[9.0, 5.0]",10,24,[ 5 18 39 45 47],[24 37 43 62 63 70 77 81 93],0
49,"[9.0, 5.0]",10,24,[ 5 18 39 45 47],[24 37 43 62 63 70 77 81 93],1
50,"[12.0, 10.0]",10,25,[10 15 19 20 21 23 32 35 40 47],[ 3 12 15 25 45 54 57 68 69 73 82 87],0
51,"[12.0, 10.0]",10,25,[10 15 19 20 21 23 32 35 40 47],[ 3 12 15 25 45 54 57 68 69 73 82 87],1
52,"[6.0, 6.0]",10,26,[17 28 34 37 38 47],[ 2 12 26 38 40 73],0
53,"[6.0, 6.0]",10,26,[17 28 34 37 38 47],[ 2 12 26 38 40 73],1
54,"[7.0, 7.0]",10,27,[ 3  4 10 24 36 38 43],[ 1 27 42 49 59 70 90],0
55,"[7.0, 7.0]",10,27,[ 3  4 10 24 36 38 43],[ 1 27 42 49 59 70 90],1
56,"[7.0, 7.0]",10,28,[ 5  6 14 28 41 42 46],[ 6 28 50 63 64 81 84],0
57,"[7.0, 7.0]",10,28,[ 5  6 14 28 41 42 46],[ 6 28 50 63 64 81 84],1
58,"[15.0, 9.0]",10,29,[ 2  3  5 13 15 28 37 38 46],[ 2  6  8 29 34 36 37 50 51 64 70 74 83 84 94],0
59,"[15.0, 9.0]",10,29,[ 2  3  5 13 15 28 37 38 46],[ 2  6  8 29 34 36 37 50 51 64 70 74 83 84 94],1
60,"[9.0, 7.0]",10,30,[ 0  1  3 16 19 26 40],[ 5 15 30 36 60 73 76 80 88],0
