,row,v_nodes,c_nodes,ts_size,snr,sim_index
0,0,[ 0  3 22 72 81 95],[11 15 18 29 34 37],"[6.0, 6.0]",10,0
1,0,[ 0  3 22 72 81 95],[11 15 18 29 34 37],"[6.0, 6.0]",10,1
2,1,[ 1  3  8 17 27 42 44 45 57 58 68 89 90],[ 3  4 10 18 21 23 25 26 35 37 43],"[13.0, 11.0]",10,0
3,1,[ 1  4  6  8 17 27 42 44 45 57 58 68 89 90],[ 3  4  8 10 11 14 25 26 35 41 43 46],"[14.0, 12.0]",10,1
4,2,[ 2  4 26 29 40 83],[ 7 14 17 18 26 28],"[6.0, 6.0]",10,0
5,2,[ 2  4 26 29 40 83],[ 7 14 17 18 26 28],"[6.0, 6.0]",10,1
6,3,[ 1  3 25 73],[ 4 12 21 31 40 44],"[4.0, 6.0]",10,0
7,3,[ 1  3 25 73],[ 4 12 21 31 40 44],"[4.0, 6.0]",10,1
8,4,[ 0  1  4  9 11 22 34 43 55 56 63 67 70 81 83 95],[ 0  2  4  5  6  9 16 17 18 20 25 27 30 31 33 34 42 43 44 46],"[16.0, 20.0]",10,0
9,4,[ 0  2  4  7 10 11 22 34 43 55 56 63 67 70 81 83 95],[ 5  6  9 10 15 16 18 20 27 28 32 33 38 43 46],"[17.0, 15.0]",10,1
10,5,[ 0  2  5  7 30 32 46 51 60 72 88 94],[ 0  7  9 13 16 17 20 26 28 29 32 39 40 41],"[12.0, 14.0]",10,0
11,5,[ 0  2  5  7 30 32 46 51 60 72 88 94],[ 0  7  9 13 16 17 20 26 28 29 32 39 40 41],"[12.0, 14.0]",10,1
12,6,[ 0  1  5  6 28 29 32 36 50 52 61 94],[ 4  5  8  9 16 23 28 31 39 41 44 47],"[12.0, 12.0]",10,0
13,6,[ 0  1  5  6 28 29 32 36 50 52 61 94],[ 4  5  8  9 16 23 28 31 39 41 44 47],"[12.0, 12.0]",10,1
14,7,[ 0  1  5  7 31 35 65 77 79 91 93],[ 0  1  2  4  9 12 14 16 17 19 29 31 32 33 39 43 44],"[11.0, 17.0]",10,0
15,7,[ 0  1  2  4  6  7 31 35 65 77 79 91 93],[ 0  2  4  8  9 12 15 18 19 23 29 31 32 38 39 41 43 44 46],"[13.0, 19.0]",10,1
16,8,[ 0  1  2  6  7  8 10 18 29 33 36 39 51 64 74 76 84],[ 0  3  4  6  8  9 10 13 15 17 20 21 23 24 25 28 29 31 32 37 39 41 44],"[17.0, 23.0]",10,0
17,8,[ 0  1  2  6  7  8 10 18 29 33 36 39 51 64 74 76 84],[ 0  3  4  6  8  9 10 13 15 17 20 21 23 24 25 28 29 31 32 37 39 41 44],"[17.0, 23.0]",10,1
