,v_nodes,ts_size,c_nodes,bias_bits,row,snr,sim_index
0,[22 81],"[2.0, 4.0]",[21 29 34 39],"[0.0, 22.0, 72.0, 81.0, 95.0]",0,10,0
1,[22 81],"[2.0, 4.0]",[21 29 34 39],"[0.0, 22.0, 72.0, 81.0, 95.0]",0,10,1
2,[17 27 57 58 68],"[5.0, 11.0]",[ 3  4 15 18 22 23 25 31 32 36 44],"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]",1,10,0
3,[17 27 57 58 68],"[5.0, 11.0]",[ 3  4 15 18 22 23 25 31 32 36 44],"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]",1,10,1
4,[ 2 29],"[2.0, 4.0]",[ 8 15 17 26],"[2.0, 26.0, 29.0, 40.0, 83.0]",2,10,0
5,[ 2 29],"[2.0, 4.0]",[ 8 15 17 26],"[2.0, 26.0, 29.0, 40.0, 83.0]",2,10,1
6,[3],"[1.0, 3.0]",[11 21 37],"[3.0, 25.0, 73.0]",3,10,0
7,[ 3 73],"[2.0, 4.0]",[11 12 19 21],"[3.0, 25.0, 73.0]",3,10,1
8,[ 4 43 55 95],"[4.0, 8.0]",[ 0  2  9 14 16 18 33 34],"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]",4,10,0
9,[ 4 43 55 95],"[4.0, 8.0]",[ 0  2  9 14 16 18 33 34],"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]",4,10,1
10,[30 32 46 72 88],"[5.0, 9.0]",[ 1  7 12 13 15 23 37 40 41],"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]",5,10,0
11,[30 32 46 72 88],"[5.0, 9.0]",[ 1  7 12 13 15 23 37 40 41],"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]",5,10,1
12,[ 6 29 32 52],"[4.0, 4.0]",[26 29 33 38],"[6.0, 28.0, 29.0, 32.0, 36.0, 50.0, 52.0, 61.0, 94.0]",6,10,0
13,[ 6 28 29 36 94],"[5.0, 5.0]",[ 1  5 13 23 39],"[6.0, 28.0, 29.0, 32.0, 36.0, 50.0, 52.0, 61.0, 94.0]",6,10,1
14,[ 7 35 65 77 79 93],"[6.0, 8.0]",[ 0  2 10 14 17 19 22 28],"[7.0, 31.0, 35.0, 65.0, 77.0, 79.0, 91.0, 93.0]",7,10,0
15,[ 7 35 65 77 79 93],"[6.0, 8.0]",[ 0  2 10 14 17 19 22 28],"[7.0, 31.0, 35.0, 65.0, 77.0, 79.0, 91.0, 93.0]",7,10,1
16,[33 36 64 74 76 84],"[6.0, 10.0]",[ 3  6  8 13 20 21 24 26 39 42],"[8.0, 18.0, 29.0, 33.0, 36.0, 39.0, 51.0, 64.0, 74.0, 76.0, 84.0]",8,10,0
17,[33 36 64 74 76 84],"[6.0, 10.0]",[ 3  6  8 13 20 21 24 26 39 42],"[8.0, 18.0, 29.0, 33.0, 36.0, 39.0, 51.0, 64.0, 74.0, 76.0, 84.0]",8,10,1
18,[55 70],"[2.0, 4.0]",[ 0  2 34 38],"[9.0, 23.0, 55.0, 70.0, 93.0]",9,10,0
19,[9],"[1.0, 3.0]",[ 2 25 34],"[9.0, 23.0, 55.0, 70.0, 93.0]",9,10,1
20,[16 31 71],"[3.0, 5.0]",[10 28 30 31 42],"[10.0, 16.0, 31.0, 47.0, 54.0, 71.0]",10,10,0
21,[31 71],"[2.0, 4.0]",[10 13 28 30],"[10.0, 16.0, 31.0, 47.0, 54.0, 71.0]",10,10,1
22,[71],"[1.0, 3.0]",[13 30 43],"[11.0, 49.0, 71.0, 76.0, 86.0]",11,10,0
23,[71],"[1.0, 3.0]",[13 30 43],"[11.0, 49.0, 71.0, 76.0, 86.0]",11,10,1
24,[12 25 32 73],"[4.0, 8.0]",[11 12 19 23 33 37 40 47],"[12.0, 23.0, 25.0, 26.0, 32.0, 35.0, 41.0, 61.0, 73.0, 78.0, 79.0, 82.0]",12,10,0
25,[12 25 32 73],"[4.0, 8.0]",[11 12 19 23 33 37 40 47],"[12.0, 23.0, 25.0, 26.0, 32.0, 35.0, 41.0, 61.0, 73.0, 78.0, 79.0, 82.0]",12,10,1
26,[49 62],"[2.0, 6.0]",[ 3  6 16 22 43 45],"[13.0, 35.0, 42.0, 49.0, 61.0, 62.0, 71.0, 79.0, 85.0, 88.0]",13,10,0
27,[13 61 71 79 88],"[5.0, 7.0]",[ 0 16 23 30 37 43 45],"[13.0, 35.0, 42.0, 49.0, 61.0, 62.0, 71.0, 79.0, 85.0, 88.0]",13,10,1
28,[14 17 44 47 53 67 75 84],"[8.0, 10.0]",[ 5 11 16 22 26 30 36 43 44 46],"[14.0, 17.0, 33.0, 44.0, 47.0, 53.0, 63.0, 67.0, 69.0, 75.0, 84.0, 89.0]",14,10,0
29,[14 17 44 47 53 67 75 84],"[8.0, 10.0]",[ 5 11 16 22 26 30 36 43 44 46],"[14.0, 17.0, 33.0, 44.0, 47.0, 53.0, 63.0, 67.0, 69.0, 75.0, 84.0, 89.0]",14,10,1
30,[25 60 69 80 82],"[5.0, 7.0]",[ 0  7 12 19 33 36 41],"[15.0, 25.0, 30.0, 60.0, 69.0, 73.0, 80.0, 82.0]",15,10,0
31,[25 60 69 80 82],"[5.0, 7.0]",[ 0  7 12 19 33 36 41],"[15.0, 25.0, 30.0, 60.0, 69.0, 73.0, 80.0, 82.0]",15,10,1
32,[45],"[1.0, 3.0]",[11 31 32],"[10.0, 16.0, 36.0, 45.0, 53.0, 71.0, 84.0]",16,10,0
33,[53],"[1.0, 3.0]",[11 27 42],"[10.0, 16.0, 36.0, 45.0, 53.0, 71.0, 84.0]",16,10,1
34,[14 91],"[2.0, 6.0]",[ 5 12 22 27 32 36],"[1.0, 14.0, 17.0, 42.0, 44.0, 49.0, 54.0, 58.0, 87.0, 90.0, 91.0]",17,10,0
35,[14 91],"[2.0, 6.0]",[ 5 12 22 27 32 36],"[1.0, 14.0, 17.0, 42.0, 44.0, 49.0, 54.0, 58.0, 87.0, 90.0, 91.0]",17,10,1
36,[ 8 47 86],"[3.0, 7.0]",[ 3  6  9 26 34 35 36],"[8.0, 18.0, 47.0, 48.0, 51.0, 56.0, 66.0, 86.0, 94.0]",18,10,0
37,[ 8 47 86],"[3.0, 7.0]",[ 3  6  9 26 34 35 36],"[8.0, 18.0, 47.0, 48.0, 51.0, 56.0, 66.0, 86.0, 94.0]",18,10,1
38,[19 67],"[2.0, 4.0]",[ 0  9 33 46],"[19.0, 55.0, 67.0, 72.0, 89.0, 95.0]",19,10,0
39,[19 67 95],"[3.0, 3.0]",[ 0 18 46],"[19.0, 55.0, 67.0, 72.0, 89.0, 95.0]",19,10,1
40,[43],"[1.0, 3.0]",[ 2 16 46],"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]",20,10,0
41,[20 59],"[2.0, 4.0]",[ 2  6 44 46],"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]",20,10,1
42,[21 95],"[2.0, 4.0]",[18 20 32 33],"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,10,0
43,[21 95],"[2.0, 4.0]",[18 20 32 33],"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,10,1
44,[ 0 22 56 81 86],"[5.0, 5.0]",[ 6  9 14 21 38],"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,10,0
45,[ 0 22 56 81 86],"[5.0, 5.0]",[ 6  9 14 21 38],"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,10,1
46,[9],"[1.0, 3.0]",[ 2 25 34],"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,10,0
47,[12 23],"[2.0, 4.0]",[ 7 15 19 25],"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,10,1
48,[37 62 70 77],"[4.0, 6.0]",[ 2 14 16 18 21 28],"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,10,0
49,[37 62 70 77],"[4.0, 6.0]",[ 2 14 16 18 21 28],"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,10,1
