,bias_bits,row,v_nodes,c_nodes,ts_size,sim_index,snr
0,"[0.0, 22.0, 72.0, 81.0, 95.0]",0,[ 0 72 81 95],[14 15 18 21],"[4.0, 4.0]",0,5
1,"[0.0, 22.0, 72.0, 81.0, 95.0]",0,[ 0 22 72 95],[14 15 18 29 34 39],"[4.0, 6.0]",1,5
2,"[0.0, 22.0, 72.0, 81.0, 95.0]",0,[ 0 95],[18 29 33 39],"[2.0, 4.0]",2,5
3,"[0.0, 22.0, 72.0, 81.0, 95.0]",0,[ 0 22 81],[ 9 21 34],"[3.0, 3.0]",3,5
4,"[0.0, 22.0, 72.0, 81.0, 95.0]",0,[ 0 22 81 95],[18 21 33 34],"[4.0, 4.0]",4,5
5,"[0.0, 22.0, 72.0, 81.0, 95.0]",0,[81],[14 21 39],"[1.0, 3.0]",5,5
6,"[0.0, 22.0, 72.0, 81.0, 95.0]",0,[72 95],[ 9 15 18 29],"[2.0, 4.0]",6,5
7,"[0.0, 22.0, 72.0, 81.0, 95.0]",0,[81 95],[ 9 14 18 21 33 39],"[2.0, 6.0]",7,5
8,"[0.0, 22.0, 72.0, 81.0, 95.0]",0,[22 81],[21 29 34 39],"[2.0, 4.0]",9,5
9,"[0.0, 22.0, 72.0, 81.0, 95.0]",0,[ 0 22 81 95],[18 21 33 34],"[4.0, 4.0]",10,5
10,"[0.0, 22.0, 72.0, 81.0, 95.0]",0,[ 0 72 95],[15 18 39],"[3.0, 3.0]",11,5
11,"[0.0, 22.0, 72.0, 81.0, 95.0]",0,[22 72 95],[ 9 14 15 18 34],"[3.0, 5.0]",12,5
12,"[0.0, 22.0, 72.0, 81.0, 95.0]",0,[22 72],[14 15 33 34],"[2.0, 4.0]",13,5
13,"[0.0, 22.0, 72.0, 81.0, 95.0]",0,[72],[15 29 33],"[1.0, 3.0]",14,5
14,"[0.0, 22.0, 72.0, 81.0, 95.0]",0,[ 0 72 81 95],[14 15 18 21],"[4.0, 4.0]",15,5
15,"[0.0, 22.0, 72.0, 81.0, 95.0]",0,[0],[ 9 29 39],"[1.0, 3.0]",16,5
16,"[0.0, 22.0, 72.0, 81.0, 95.0]",0,[95],[ 9 18 33],"[1.0, 3.0]",18,5
17,"[0.0, 22.0, 72.0, 81.0, 95.0]",0,[22 81],[21 29 34 39],"[2.0, 4.0]",19,5
18,"[0.0, 22.0, 72.0, 81.0, 95.0]",0,[95],[ 9 18 33],"[1.0, 3.0]",20,5
19,"[0.0, 22.0, 72.0, 81.0, 95.0]",0,[ 0 72 81 95],[14 15 18 21],"[4.0, 4.0]",21,5
20,"[0.0, 22.0, 72.0, 81.0, 95.0]",0,[95],[ 9 18 33],"[1.0, 3.0]",22,5
21,"[0.0, 22.0, 72.0, 81.0, 95.0]",0,[72],[15 29 33],"[1.0, 3.0]",23,5
22,"[0.0, 22.0, 72.0, 81.0, 95.0]",0,[72 81],[14 15 21 29 33 39],"[2.0, 6.0]",24,5
23,"[0.0, 22.0, 72.0, 81.0, 95.0]",0,[81],[14 21 39],"[1.0, 3.0]",26,5
24,"[0.0, 22.0, 72.0, 81.0, 95.0]",0,[ 0 95],[18 29 33 39],"[2.0, 4.0]",27,5
25,"[0.0, 22.0, 72.0, 81.0, 95.0]",0,[ 0 22],[ 9 14 34 39],"[2.0, 4.0]",28,5
26,"[0.0, 22.0, 72.0, 81.0, 95.0]",0,[ 0 81],[ 9 14 21 29],"[2.0, 4.0]",29,5
27,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]",1,[ 1 17 42 44 58 68 89 90],[ 3  4 10 15 23 25 32 40 43 44],"[8.0, 10.0]",0,5
28,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]",1,[27 44 89 90],[ 4 15 18 31 36 43],"[4.0, 6.0]",1,5
29,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]",1,[45 57 68 90],[ 3  4 11 15 23 31 32 36],"[4.0, 8.0]",2,5
30,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]",1,[ 1 17 27 44 45 57 89],[ 3  4 11 18 22 31 32 36 40 43 44],"[7.0, 11.0]",3,5
31,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]",1,[27 44 57 58 68 89 90],[ 4 18 23 25 32 36 43],"[7.0, 7.0]",4,5
32,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]",1,[17 42 44 45 57 68],[ 4 10 11 15 23 27 32 36 43 44],"[6.0, 10.0]",5,5
33,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]",1,[17 42 44 90],[ 3 10 27 31 43 44],"[4.0, 6.0]",6,5
34,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]",1,[27 42 45 57 58 68 89],[ 3 10 11 18 22 23 25 27 44],"[7.0, 9.0]",7,5
35,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]",1,[ 1 17 27 42 45 58 68 89 90],[10 11 15 18 23 25 27 31 40],"[9.0, 9.0]",8,5
