,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,22,72,81.0,95.0,,,,,,,,,,
1,1,17,27,42.0,44.0,45.0,57.0,58.0,68.0,89.0,90.0,,,,
2,2,26,29,40.0,83.0,,,,,,,,,,
3,3,25,73,,,,,,,,,,,,
4,4,22,34,43.0,55.0,56.0,63.0,67.0,70.0,81.0,83.0,95.0,,,
5,5,30,32,46.0,51.0,60.0,72.0,88.0,94.0,,,,,,
6,6,28,29,32.0,36.0,50.0,52.0,61.0,94.0,,,,,,
7,7,31,35,65.0,77.0,79.0,91.0,93.0,,,,,,,
8,8,18,29,33.0,36.0,39.0,51.0,64.0,74.0,76.0,84.0,,,,
9,9,23,55,70.0,93.0,,,,,,,,,,
10,10,16,31,47.0,54.0,71.0,,,,,,,,,
11,11,49,71,76.0,86.0,,,,,,,,,,
12,12,23,25,26.0,32.0,35.0,41.0,61.0,73.0,78.0,79.0,82.0,,,
13,13,35,42,49.0,61.0,62.0,71.0,79.0,85.0,88.0,,,,,
14,14,17,33,44.0,47.0,53.0,63.0,67.0,69.0,75.0,84.0,89.0,,,
15,15,25,30,60.0,69.0,73.0,80.0,82.0,,,,,,,
16,10,16,36,45.0,53.0,71.0,84.0,,,,,,,,
17,1,14,17,42.0,44.0,49.0,54.0,58.0,87.0,90.0,91.0,,,,
18,8,18,47,48.0,51.0,56.0,66.0,86.0,94.0,,,,,,
19,19,55,67,72.0,89.0,95.0,,,,,,,,,
20,20,33,37,43.0,59.0,62.0,63.0,,,,,,,,
21,21,48,60,65.0,91.0,95.0,,,,,,,,,
22,0,4,22,46.0,55.0,56.0,66.0,77.0,81.0,85.0,86.0,,,,
23,9,12,23,40.0,78.0,93.0,,,,,,,,,
24,24,37,43,62.0,63.0,70.0,77.0,81.0,93.0,,,,,,
25,3,12,15,25.0,45.0,54.0,57.0,68.0,69.0,73.0,82.0,87.0,,,
26,2,12,26,38.0,40.0,73.0,,,,,,,,,
27,1,27,42,49.0,59.0,70.0,90.0,,,,,,,,
28,6,28,50,63.0,64.0,81.0,84.0,,,,,,,,
29,2,6,8,29.0,34.0,36.0,37.0,50.0,51.0,64.0,70.0,74.0,83.0,84.0,94.0
30,5,15,30,36.0,60.0,73.0,76.0,80.0,88.0,,,,,,
31,7,10,31,42.0,49.0,65.0,71.0,77.0,85.0,,,,,,
32,5,6,12,32.0,52.0,60.0,61.0,68.0,72.0,82.0,94.0,,,,
33,8,14,20,33.0,59.0,63.0,69.0,74.0,75.0,84.0,,,,,
34,4,29,34,70.0,83.0,84.0,,,,,,,,,
35,7,12,13,35.0,54.0,77.0,79.0,85.0,,,,,,,
36,6,8,16,29.0,30.0,36.0,51.0,61.0,76.0,84.0,88.0,,,,
37,20,24,29,37.0,56.0,62.0,63.0,64.0,70.0,74.0,81.0,86.0,,,
38,26,38,65,73.0,91.0,,,,,,,,,,
39,8,39,49,64.0,92.0,,,,,,,,,,
40,2,23,26,40.0,93.0,,,,,,,,,,
41,12,41,77,82.0,93.0,,,,,,,,,,
42,1,13,17,27.0,31.0,42.0,49.0,54.0,65.0,85.0,91.0,,,,
43,4,20,24,43.0,59.0,62.0,63.0,70.0,75.0,,,,,,
44,1,14,17,44.0,49.0,53.0,58.0,89.0,92.0,,,,,,
45,1,16,25,45.0,53.0,57.0,58.0,69.0,90.0,92.0,,,,,
